item_id,item_name,seller_name,cost,no_seller,no_customer_reviews,product_rating
1,"Little India Gemstone Studded Pure Brass Camel Handicraft (184, Brown)",Little India,405,21,15,3.5
2,"Rajasthan Emporium and Handicrafts German Silver Bowl, Spoon and Tray Gift set",Rajasthan Emporium and Handicrafts,419,16,57,4.4
3,HANDICRAFTS PARADISE RAJASTHANI MARBLE MOBILE HOLDER WITH CLOCK,HANDICRAFTS PARADISE,475,4,0,0
4,"Little India Rajasthani Handmade Elephant Marble Handicraft (146, White)",Little India,448,19,2,3.5
5,"Musician Bawla Set Rajasthani Handicraft for gift, décor (PKG size 6.35 cm x 30.48 cm)_TR_FIGUR_001",EtsiBitsi,430,8,9,2.9
6,Ratna Handicrafts Exclusive Ganesh Idol Diamond Stone Studded,Ratna,198,12,36,4.5
7,Set of 2 Hosley® Wall sconces 40cm long with 8 Glass Cup Candle Holders and bonus Tealight Candles,Hosley,699,3,356,4.4
8,Handicraft Bazaar Rajasthani Famous Handmade Puppets,Handicraft Bazaar,119,10,2,5
9,"Little India Handicraft Gemstone Painting Key Hanger  (Set of 6, Cream,HCF213)",Little India,140,19,23,3.3
10,HANDICRAFTS PARADISE MARBLE DESK ORGANISER,HANDICRAFTS PARADISE,880,1,0,0
11,HANDICRAFTS PARADISE MARBLE KUPPI FLOWER VASE IN BLUE COLOR HPMR15037,HANDICRAFTS PARADISE,619,1,0,0
12,Ganesh Vegetable & Fruit Chopper Cutter With Chop Blade & Cleaning Tool,Ganesh,213,115,939,3.5
13,"Mama Handicraft Metal Lord Krishna Idol (9 cm x 9 cm x 16 cm, Silver)",Mama Handicraft,360,1,0,0
14,Rastogi Handicrafts Silver Plated Cutlery Set(Pack of 7),Rastogi Handicrafts,685,1,0,0
15,HANDICRAFTS PARADISE MARBLE POOJA CHOWKI HPMR15076,HANDICRAFTS PARADISE,155,3,0,0
16,Sharma Handicraft Glass Peacock Tree (17 cm x 10 cm),Sharma Handicraft1 offerfrom ,499,1,0,0
17,"Mama Handicraft Wood Mukhwas Box (10.5 cm x 18 cm x 3.5 cm, white)",Mama Handicraft,300,1,0,0
18,Simcs Handicrafts Double Side Peg Measure & Cocktail Shaker Drink Measuring Bar Tool Jigger 30/60Ml,SIMCS HANDICRAFTS,125,13,23,3.3
19,"Assam Cane Handicraft Handle Basket -(10x10 Inches,Multi-Colored)",Assam Cane Handicraft,100,1,0,0
20,See available choicesRastogi Handicrafts Steel Decorative Platter (Silver) (2),Rastogi Handicrafts,899,1,0,0
21,EtsiBitsi Rajasthani Elephant Door Hanging Handicraft Jaipuri Door Hanging Showpiece Figurine_TR_Showpiece_003,EtsiBitsi,260,3,11,3.6
22,"S C Handicrafts Wooden Candle Holder (6"", Brown)",SC Handicrafts1 offerfrom ,399,1,0,0
23,Living Concept Handicrafts/Partition/Screens/set of 4 Panels/Wooden/MDF,Living Concept Handicrafts1 offerfrom ,"5,999",1,0,0
24,"National Handicrafts 14"" x 14"" Kashmiri Carving & Brass Inlaid Square Shaped Side Table",National Handicrafts1 offerfrom ,"2,951",1,0,0
25,Rastogi Handicrafts Genuine Copper Water Bottle Jointless 950 ML Capacity,Rastogi Handicrafts,685,1,0,0
26,Living Concept Handicrafts/Partition/screens/panel/Antique Round Ring design/set of 4 panels,Living Concept Handicrafts1 offerfrom ,"5,500",1,0,0
27,"National Handicrafts 14"" x 14"" Kashmiri Carving & Brass Inlaid Round Shaped Side Table",National Handicrafts1 offerfrom ,"2,951",1,0,0
28,"Rastogi Handicrafts German Silver Bowl, Spoon and Tray Gift set",Rastogi Handicrafts,599,1,0,0
29,"Mama Handicraft Metal Lord Ganesh And Goddess Lakshmi Idol (15.5 cm x 9 cm x 11.5 cm, Silver)",Mama Handicraft,500,1,0,0
30,"Crafticia Craft Traditional Handicraft Unique Hanging Metal Leaf Tealight Candle Holder (39 cm x 7 cm x 52 cm,...",Crafticia1 offerfrom ,"1,999",1,0,0
31,Rajkruti handicrafts (metal) candle stand/lamp ,rajkrutiby RAJKRUTI,635,1,1,5
32,"Handicrafts Paradise Blue ,Red And Gold Marble Mobile Holder And Clock",HANDICRAFTS PARADISE,449,4,1,4
33,"Artistic Handicrafts Brass Decorative Fan (17 cm x 9 cm x 9 cm, Gold)",Artistic Handicrafts1 offerfrom ,399,1,0,0
34,Handicrafts Paradise Kundan Embellished Marble Incense Holder,HANDICRAFTS PARADISE,339,1,0,0
35,"Halowishes Ganesha, Elephants & Bells Door Hanging Handicraft -301",Halowishes,395,1,0,0
36,Jaipur Crafts Rajasthani Door Hanging Elephant Handicraft,JaipurCrafts1 offerfrom ,100,1,0,0
37,See available choicesJodhpur Handicrafts Home Temple/ Wooden Temple/ Pooja Mandir/ Mandap/ Temple for Home,Jodhpur Handicrafts,"2,930",1,8,3.8
38,Handicrafts Paradise gemstone shisham brass jewellery box PSSW 14016,HANDICRAFTS PARADISE,399,1,0,0
39,Rastogi Handicrafts Steel-Meena Worked Golden 6glass -Tray Serving Set,Rastogi Handicrafts,999,1,0,0
40,Pindia Wrought Iron Small Miniature Flower Rikshaw,Pindia,599,3,133,4.3
41,"Mama Handicraft Metal Kankawati (9.5 cm x 9.5 cm x 2 cm, Gold)",Mama Handicraft,240,1,0,0
42,Jaipur Raga Rajasthani Handmade Elephant Marble Handicraft Pure Marble,Jaipur Raga,245,8,0,0
43,See available choicesRastogi Handicrafts Steel Decorative Platter (Silver) (1) SIZE- 4X4X6 INCH,Rastogi Handicrafts,499,1,0,0
44,Handicraft Paradise Real Gemstone Pine Wood Radha Krishna Design 3 Hook Key Holder,HANDICRAFTS PARADISE,199,1,0,0
45,"RAJKRUTI handicraft tradtional rajasthani man women(kaka Kaki) face statue showpiece (10 cm x 10 cm x 10 cm, WH265)",RAJKRUTI,450,1,0,0
46,Makrana Marble Chess Board Handicraft By M.G.R,M.G.R,721,5,0,0
47,Traditional Rajasthan Marvellous Marble Ganesh Idol with Peacock design Chowki puja articles Rajasthani Handicrafts...,EtsiBitsi,97,14,14,3.6
48,Jaipur Crafts Rajasthani Handicrafts NATIONAL BIRD Dancing Peacock Hand Made Antique Show Piece with Colorful...,JaipurCrafts1 offerfrom ,349,1,0,0
49,Jaipur Crafts Designer Wooden Elephant Stool Handicraft (17.78 cm x 12.7 cm x 24.13 cm,JaipurCrafts1 offerfrom ,"2,343",1,0,0
50,Pindia Hand Crafted Wooden Sepc Stand Spectacle Holder,Pindia,149,1,86,4
51,HANDICRAFTS PARADISE MAA DURGA/SHERAWALI GODDESS CARVED IN RESIN HPMR15067,HANDICRAFTS PARADISE,400,1,0,0
52,Rajkruti handicraft camel and elephant set of 6 showpiece home decor animal small figure (7 Cm X 5 Cm X 6 Cm),RAJKRUTI,200,5,0,0
53,Rajkruti Wooden handicraft handmade ashoka pillar for home decor showpiece - (5.5 x 5.5 x 19.5 cm),RAJKRUTI,250,8,5,3.8
54,Little India Rajasthani Elephant Door Hanging Handicraft,Little India,139,9,0,0
55,Moradabad Handicrafts Shadow Ganesh Ji Tea Light Holder BY MH,Moradabad Handicrafts,275,4,8,2.5
56,Wooden handicraft home decor blue pottery box drawer set ,rajkruti- (11 cm x 10 cm x 18 cm)by RAJKRUTI,420,4,0,0
57,Rajkruti rajasthani wooden handicraft wall hanging letter box with key hanger showpiece (11 Cms x 5 Cms x 20 Cms...,RAJKRUTI,350,1,1,1
58,HANDICRAFTS PARADISE MARBLE FLOWER VASE ENAMEL PEACOCK HPMR15055,HANDICRAFTS PARADISE,725,3,0,0
59,wooden handicraft home decor elephant showpiece ,"rajkruti- (11 cm * 5 cm * 7 cm , Brown)by RAJKRUTI",560,5,0,0
60,SS Padam Handicraft Industries Black Ebony Wood 1 Pair Chopsticks,SS Padam Handicraft Industries,180,1,1,5
61,Handicraft Paradise Real Gemstone Pine Wood Shringar Design Square Coaster,HANDICRAFTS PARADISE,249,1,0,0
62,"Maruti Handicrafts Leather & Suede Resting Camel Figurine (18.5 cm x 6 cm x 14 cm, Brown)",Maruti Handicrafts1 offerfrom ,220,1,0,0
63,HANDICRAFTS PARADISE PAIR OF MARBLE FLOWER POT WITH BLUE KUPPI WORK HPMR15142,HANDICRAFTS PARADISE,"1,299",1,0,0
64,Handicrafts Paradise metal enamelled pair of two blue swans,HANDICRAFTS PARADISE,495,1,1,1
65,Jaipur Crafts Marble Taj Mahal Handicrafts,JaipurCrafts2 offersfrom ,800,3,0,0
66,"Rajkruti Handicraft wooden glass mosaic wall hanging table lamp show piece (12 Cm X 9 Cm X 18 Cm,WH255)",RAJKRUTI,500,3,0,0
67,Ratna Handicrafts Shri Hanuman Chalisa Yantra,Ratna,199,9,5,2.6
68,Handicrafts Paradise rajasthani royal elephant emboss work,HANDICRAFTS PARADISE,285,3,0,0
69,"Musician Bawla Set Rajasthani Handicraft for gift, décor (Brown) (4 inches)_TR_FIGUR_002",EtsiBitsi,699,5,6,3.5
70,Mesmerise Handicraft Combo of 6 Dusters,Mesmerise Handicraft1 offerfrom ,320,1,0,0
71,R S Jewels Wooden Handicraft Rajasthani Bani Thani Women's Painting,R S Jewels1 offerfrom ,380,1,1,5
72,Marble Handicraft Vase (perfect home decor),Vibgyor Vibes,839,3,0,0
73,SS Padam Handicraft Industries Red Sandalwood Round Beads Bracelet,SS Padam Handicraft Industries,169,3,1,3
74,"Rajkruti handicraft antique sparrow bird showpiece set (9 Cms x 4 Cms x 6 Cms, Multi-Color)",RAJKRUTI,230,1,1,5
75,"Pigeon Special Non-Stick Flat Tawa, 28cm, Black",Pigeon,424,16,567,4.2
76,"Little India Pure Brass Handicraft Canon Gift Set (151, 3-Pieces, Brown)",Little India,339,11,1,5
77,Shilpi Wooden Handicrafts Chowki Big (20*20*8),Shilpi1 offerfrom ,"2,250",1,0,0
78,Handicraft Paradise Real Gemstone Pine Wood Ragini with Dancing Peacock Design Round Coaster,HANDICRAFTS PARADISE,249,3,0,0
79,"Handicrafts Paradise Metal Enamelled Swans (Set of 2, White)",HANDICRAFTS PARADISE,495,1,2,3.5
80,National Handicrafts Handmade Wooden Nose Shaped Spectacle / Specs / Eyeglass Holder /stand,National Handicrafts1 offerfrom ,175,1,0,0
81,"Thar Handicrafts Bangalore Brass Decorative Painted Joot (Brass Yellow, 30.48x30.48x15.24 Cms )",Thar Handicrafts Bangalore2 offersfrom ,999,3,0,0
82,"Pigeon Handy Mini Chopper, Green",Pigeon,265,34,608,3.4
83,"Kapasi Handicrafts Brass Antique Folding Flower Diya (8 cm x 8 cm x 13 cm, Green and Black)",Kapasi Handicrafts,720,1,0,0
84,"Rastogi Handicrafts Showpiece Dancing Peacock - 18 cm (Brass, Multicolor)",Rastogi Handicrafts,418,1,0,0
85,HANDICRAFTS PARADISE MARBLE FLOWER VASE,HANDICRAFTS PARADISE,999,1,0,0
86,"Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces",Prestige,"1,421",67,497,3.9
87,"Sharma Handicraft Glass Decorative Swan (13 cm x 7 cm, White)",Sharma Handicraft1 offerfrom ,325,1,0,0
88,"Assam Cane Handicraft Round Colour Basket -(14x14 Inches,Multi-Colored)",Assam Cane Handicraft,150,1,0,0
89,Bamboo Handicraft Mug ,Creative Thoughtby Creative Thought1 offerfrom ,198,1,0,0
90,"Silver Finished Containers Set With Tray, Box, Platters For Storing And Serving Dry Fruits, Sweets, Chocolates...",Sukhson India,240,1,0,0
91,"Handicrafts-Bazaar Brass Fruit Bowl -(11 cm x 11 cm, HB - 183)",Handicrafts-Bazaar,375,1,0,0
92,Rajkruti wooden handicraft handmade home decor 7 piece african man set- (4 cm x 3.5 cm x 16 cm),RAJKRUTI,515,4,0,0
93,"Maruti Handicrafts Wood Flower Pot Wall Hanging (46 cm x 61 cm x 8 cm, Multi-Coloured)",Maruti Handicrafts1 offerfrom ,"3,500",1,0,0
94,Kapasi Handicrafts Brass Rath (7.5 x 2 x 6 Inches),Kapasi Handicrafts,"2,731",1,0,0
95,"Handicraft Point Wooden Puja Stool Set (13.5 cm x 13.5 cm x 4 cm, Set of 4 )",Handicraft Point1 offerfrom ,351,1,0,0
96,Handicraft Paradise Real Gemstone Pine Wood Bride Design Square Coaster,HANDICRAFTS PARADISE,249,4,0,0
97,"Silver Finished Containers Set With Tray, Box, Platters For Storing And Serving Dry Fruits, Sweets, Chocolates...",Sukhson India,710,1,0,0
98,Popular Handicrafts Hippie Mandala Bohemian Psychedelic Intricate Floral Design Indian Bedspread Magical Thinking...,Popular Handicrafts,351,5,0,0
99,"Artistic Handicrafts Brass Bowl, Spoon & Tray Set, 5 Piece, Silver",ARTISTIC HANDICRAFTS1 offerfrom ,359,1,0,0
100,RAJI Handicrafts Ganesha Tanjore Painting,RAJI Handicrafts,250,1,1,4
101,"Maruti Handicrafts Leather & Suede Giraffe Figurine (17,8 cm x 7,8 cm x 40, 24 cm, Orange )",Maruti Handicrafts1 offerfrom ,500,1,0,0
102,HANDICRAFTS PARADISE MARBLE MEENA WORK TABLE CLOCK,HANDICRAFTS PARADISE,299,4,0,0
