item_id,seller_name,seller_rating
1,HANDICRAFTSPARADISE,New Seller!
2,Aakrati,3.8 / 5
3,Divinegifts,4.3 / 5
4,Biotique99,New Seller!
4,Statuestudio,"3.8
                                            / 5"
5,Redbag,4.1 / 5
6,HALFPIZZAARTS,New Seller!
6,TheEmerald,"3.4
                                            / 5"
7,DivineMarketingService,New Seller!
8,Karigaari,3.4 / 5
9,Divyamantra,4.0 / 5
10,Royalindiasales,New Seller!
11,ONLINEWORLD,3.9 / 5
12,Shoplorry,New Seller!
13,NikshubhaTraders,New Seller!
14,SunnyCorps,New Seller!
15,CollectibleIndia,New Seller!
16,1sthome,"2.8
                                            / 5"
16,1stHomesolution,New Seller!
17,Not Available,Not Available
18,JEWELFUEL,3.7 / 5
19,Sitare,New Seller!
20,Smile2u,3.5 / 5
21,Surface180,New Seller!
22,ONLINEWORLD,3.9 / 5
23,BLISSGlobalFineArtz,New Seller!
24,Homesake,New Seller!
25,AestheticDecors,4.2 / 5
26,NikshubhaTraders,New Seller!
27,Deepikaenterprises,New Seller!
28,Megifting,New Seller!
29,nilgiritouch,3.7 / 5
30,eshoppee,3.8 / 5
31,SATYAMANI,4.9 / 5
32,Karigaari,3.4 / 5
33,Orchard,3.4 / 5
34,Robofi,3.6 / 5
35,Robofi,3.6 / 5
36,Clixicle,New Seller!
37,IndiaBuye,3.9 / 5
38,Shivangi,3.5 / 5
39,DecoJunction,New Seller!
40,ShoppingWopping,3.7 / 5
41,TraditionalRajasthan,3.7 / 5
42,excitingLives,4.0 / 5
43,UniqueDesign,2.9 / 5
44,SATYAMANI,4.9 / 5
45,11Girls,4.1 / 5
46,KRITICREATIONS,4.3 / 5
47,MetierLifestyle,3.3 / 5
48,Smile2u,"3.5
                                            / 5"
48,PaintingMantra,"3.5
                                            / 5"
49,Statuestudio,3.8 / 5
50,CollectibleIndia,New Seller!
51,Dealfinity,4.0 / 5
52,Statuestudio,3.8 / 5
53,EARTH,3.2 / 5
54,Starstell,3.5 / 5
55,Karigaari,3.4 / 5
56,Smile2u,3.5 / 5
57,Little-India,3.4 / 5
58,CLOCKSANDCLOCKS,New Seller!
59,MetierLifestyle,3.3 / 5
60,MetierLifestyle,3.3 / 5
61,Divinegifts,4.3 / 5
62,GalaxyExports,3.5 / 5
63,nilgiritouch,3.7 / 5
64,craftstoreindia,3.7 / 5
65,Biotique99,New Seller!
65,Statuestudio,"3.8
                                            / 5"
66,KRITICREATIONS,4.3 / 5
67,Birdinblue,4.2 / 5
68,PacknGift,New Seller!
69,giftsbymeeta,3.4 / 5
70,HEERANART,3.5 / 5
71,BelloPhotoFrames,3.5 / 5
72,Aapnocrafts,3.0 / 5
73,DayaGroups,3.9 / 5
74,Sutradecor,3.5 / 5
75,JWC,3.9 / 5
76,RAJLAXMI,3.1 / 5
77,Nayahub,New Seller!
78,PoojaCreationn,New Seller!
79,GiftCentre,3.1 / 5
80,somethingjust1you2need,New Seller!
81,KRG,3.2 / 5
82,BelloPhotoFrames,3.5 / 5
83,BelloPhotoFrames,3.5 / 5
84,BelloPhotoFrames,3.5 / 5
85,Omarts,3.7 / 5
86,nilgiritouch,3.7 / 5
87,ShoppingRajasthan,3.3 / 5
88,Omarts,3.7 / 5
89,SWARNIMJEWELLERS,3.8 / 5
90,eCraftIndia,3.5 / 5
91,Surface180,New Seller!
92,SATYAMANI,4.9 / 5
93,11Girls,4.1 / 5
94,ONLINEWORLD,3.9 / 5
95,Robofi,3.6 / 5
96,BelloPhotoFrames,3.5 / 5
97,TOFA,New Seller!
98,Shivangi,3.5 / 5
99,Biotique99,New Seller!
99,Aakrati,"3.8
                                            / 5"
100,craftartz,New Seller!
101,Karigaari,3.4 / 5
102,ELROE,4.3 / 5
103,GalaxyExports,3.5 / 5
104,MiracleRetail,4.1 / 5
105,Plusvalue,New Seller!
106,BelloPhotoFrames,3.5 / 5
107,IndiaBongs,3.8 / 5
108,Aapnocrafts,3.0 / 5
109,IndiaBuye,3.9 / 5
110,GoldArt,New Seller!
111,SWARNIMJEWELLERS,3.8 / 5
112,SWAPKRI,New Seller!
113,TheEmerald,3.4 / 5
114,JPSRETAIL,3.1 / 5
115,JPSRETAIL,3.1 / 5
116,Furncoms,New Seller!
117,JustBestBuy4u,"3.6
                                            / 5"
117,Bhavyaenterprises,New Seller!
118,JustBestBuy4u,3.6 / 5
119,PaintingMantra,3.5 / 5
120,HomeIndia,3.0 / 5
121,NikshubhaTraders,New Seller!
122,krafthub,New Seller!
123,Smile2u,3.5 / 5
124,Karigaari,3.4 / 5
125,HanumantCreations,New Seller!
126,Smile2u,3.5 / 5
127,VASTUGHAR,New Seller!
128,eshoppee,3.8 / 5
129,VASTUGHAR,New Seller!
130,AestheticDecors,4.2 / 5
131,Homesake,New Seller!
132,GiftsGannet,New Seller!
133,APKAMART,4.3 / 5
134,JindalCraftsDotCom,New Seller!
135,Hashcart,4.2 / 5
136,Aapnocrafts,3.0 / 5
137,AestheticDecors,4.2 / 5
138,INSPIRATIONWORLD,4.0 / 5
139,RajaArts,New Seller!
140,HAN,New Seller!
141,LeapLed,New Seller!
142,Aapnocrafts,3.0 / 5
143,MetierLifestyle,3.3 / 5
144,Amvera,3.2 / 5
145,CollectibleIndia,New Seller!
146,Redbag,4.1 / 5
147,Omarts,3.7 / 5
148,VKTRADER,New Seller!
149,SKMRETAIL,3.7 / 5
150,Aapnocrafts,3.0 / 5
151,EARTH,3.2 / 5
152,eCraftIndia,3.5 / 5
153,Indikala,4.0 / 5
154,Picassoimpex,3.3 / 5
155,GrabDen,New Seller!
156,HANDICRAFTSPARADISE,New Seller!
157,Redbag,4.1 / 5
158,Shivangi,3.5 / 5
159,DharoharTheHeritage,New Seller!
160,Aapnocrafts,3.0 / 5
161,AmazingIndia,New Seller!
162,Dealfinity,4.0 / 5
163,Anjalika,3.5 / 5
164,JainSales,New Seller!
165,DivineCrafts,3.7 / 5
166,Kalaplanet,3.1 / 5
167,ONLINEWORLD,3.9 / 5
168,TheEmerald,3.4 / 5
169,Justdecorz,3.3 / 5
170,aaraventerprises79,New Seller!
171,IndiaBuye,3.9 / 5
172,EmRetail,3.6 / 5
173,GalaxyExports,3.5 / 5
174,AiraHomeProductsLLP,4.0 / 5
175,BhavnaCollections2,New Seller!
176,KingInternational,3.3 / 5
177,KOLOROBIA,New Seller!
