item_id,item_name,url,no_reviews,rating
1,Handicrafts Paradise Angel carved in Resin Showpiece  -...,http://www.flipkart.com/handicrafts-paradise-angel-carved-resin-showpiece-7-62-cm/p/itmecc6wxywzcstm?pid=SHIECC6WN2JG3GMB&al=Qiy0X3g139NrQUKSsfjjI8ldugMWZuE7eGHgUTGjVrrynomeTrn%2FKB17ZUA0eSpyKhSruEmtIYc%3D&ref=L%3A-3348145143005688612&srno=p_1&query=handicraft&otracker=from-search,(1 rating),5 stars
2,Aakrati Wall Hanging Three Diya Oil Lamp Showpiece  -  ...,http://www.flipkart.com/aakrati-wall-hanging-three-diya-oil-lamp-showpiece-25-cm/p/itmefkmnzcjfuuff?pid=SHIEFKMNWCGT8RMA&al=Qiy0X3g139NrQUKSsfjjI8ldugMWZuE7eGHgUTGjVrqrxrPPnBVv3EUS21rm4FsHPWqN66%2FrEK0%3D&ref=L%3A-3348145143005688612&srno=p_2&query=handicraft&otracker=from-search,(62  ratings),4 stars
3,Divine Gifts & Artificial Jewellery Om Sai Ganesha Show...,http://www.flipkart.com/divine-gifts-artificial-jewellery-om-sai-ganesha-showpiece-5-cm/p/itmeafsfwv9kq5dh?pid=SHIEAFSFVUSKATCK&al=Qiy0X3g139NrQUKSsfjjI8ldugMWZuE7eGHgUTGjVrpJSJpXwt3uFnYu8Dqrp61e2yCy%2FnCeL%2FU%3D&ref=L%3A-3348145143005688612&srno=p_3&query=handicraft&otracker=from-search,(3  ratings),4 stars
4,"StatueStudio Durga Showpiece  -  22.86 cm (Brass, Gold)",http://www.flipkart.com/statuestudio-durga-showpiece-22-86-cm/p/itmefzwysjtp3qd3?pid=SHIEFZWY6GMG8GSZ&al=Qiy0X3g139NrQUKSsfjjI8ldugMWZuE7eGHgUTGjVrp9u7ovJGsPcCBgYt%2FgTbsjZtkaARGZZZs%3D&ref=L%3A-3348145143005688612&srno=p_4&query=handicraft&otracker=from-search,0 rating,0 stars
5,Redbag Sitting God Indra Dev Brass Statue 1959 Showpiec...,http://www.flipkart.com/redbag-sitting-god-indra-dev-brass-statue-1959-showpiece-18-415-cm/p/itme7rpmyn7rtswm?pid=SHIE7RPMZ2XZFYBX&al=Qiy0X3g139NrQUKSsfjjI8ldugMWZuE7eGHgUTGjVrp6sA9JKk%2F2iSaS2taHLj2PTU17Wy%2FQ2oQ%3D&ref=L%3A-3348145143005688612&srno=p_5&query=handicraft&otracker=from-search,0 rating,0 stars
6,Winsome Showpiece Gramophone Showpiece  -  25 cm (Brass...,http://www.flipkart.com/winsome-showpiece-gramophone-25-cm/p/itmecgxz4nvzfjye?pid=SHIECGXZHBQMVRNH&al=Qiy0X3g139PE4Cf5hHHt%2FMldugMWZuE7eGHgUTGjVrqpaOALn2cTOZJqEFQD7Y5Knz9B%2BMP8yBE%3D&ref=L%3A-3348145143005688612&srno=p_6&query=handicraft&otracker=from-search,(5  ratings),3 stars
7,"Divine Singing Bowl Showpiece  -  5 cm (Brass, Gold)",http://www.flipkart.com/divine-singing-bowl-showpiece-5-cm/p/itme5bse2wnbyp6w?pid=SHIE5BSEBZHJRK7P&al=Qiy0X3g139PE4Cf5hHHt%2FMldugMWZuE7eGHgUTGjVrqxZtOK4GStFJRtL51%2BAOMOI%2FxcNwTxAxc%3D&ref=L%3A-3348145143005688612&srno=p_7&query=handicraft&otracker=from-search,(2  ratings),3 stars
8,Karigaari Traditions Of Rajasthan : A Lady Churning But...,http://www.flipkart.com/karigaari-traditions-rajasthan-lady-churning-butter-showpiece-16-cm/p/itme7pyref9cfmzc?pid=SHIE7PYRAJMNP9KG&al=Qiy0X3g139PE4Cf5hHHt%2FMldugMWZuE7eGHgUTGjVrpVd86QIqyMjkQTkRadcvOmYtxM96O96yM%3D&ref=L%3A-3348145143005688612&srno=p_8&query=handicraft&otracker=from-search,(2  ratings),4 stars
9,Aaradhi Divya Mantra Feng Shui Seven Chakra Crystal Gem...,http://www.flipkart.com/aaradhi-divya-mantra-feng-shui-seven-chakra-crystal-gem-tree-healing-showpiece-49-cm/p/itmeb3htdehyugkc?pid=SHIEB3HSWMK7GSEY&al=Qiy0X3g139PE4Cf5hHHt%2FMldugMWZuE7eGHgUTGjVroY4T7Nc3YsBvaJRn5QW0SCAqgkl%2BqKcco%3D&ref=L%3A-3348145143005688612&srno=p_9&query=handicraft&otracker=from-search,0 rating,0 stars
10,"Royal India Showpiece  -  11 cm (Plastic, Multicolor)",http://www.flipkart.com/royal-india-showpiece-11-cm/p/itmedd5z7vrwcgpq?pid=SHIEDD5ZAUGJEJK4&al=Qiy0X3g139PE4Cf5hHHt%2FMldugMWZuE7eGHgUTGjVrp49r7TWk8Ds6IICtyk%2Fd2YOiLcw9qVtqQ%3D&ref=L%3A-3348145143005688612&srno=p_10&query=handicraft&otracker=from-search,0 rating,0 stars
11,"Frames MDF Photo Frame (Photo Size - 15.24 X 20.32 cm, ...",http://www.flipkart.com/frames-mdf-photo-frame/p/itme53gsyeruatyr?pid=PHFE53GSWYCY2H3G&al=Qiy0X3g139PE4Cf5hHHt%2FMldugMWZuE7JTWSsYnGIuXDFxqGM2ajZ7FmVhv7aA8HptZcn%2Fz%2Fv4A%3D&ref=L%3A-3348145143005688612&srno=p_11&query=handicraft&otracker=from-search,0 rating,0 stars
12,"Shoplorry Generic Photo Frame (Photo Size - 5 X 7 inch,...",http://www.flipkart.com/shoplorry-generic-photo-frame/p/itme96accgqy8ufk?pid=PHFE96ACZBCDMDER&al=Qiy0X3g139PE4Cf5hHHt%2FMldugMWZuE7JTWSsYnGIuURX0h%2F0CR5nL7X%2B59ktQzi8LWzIHlySOo%3D&ref=L%3A-3348145143005688612&srno=p_12&query=handicraft&otracker=from-search,0 rating,0 stars
13,CraftSmith Metallic Lord Krishna Riding Arjun Rath Show...,http://www.flipkart.com/craftsmith-metallic-lord-krishna-riding-arjun-rath-showpiece-21-cm/p/itmeftk45twzkem8?pid=SHIEFTK4YNF9JKH2&al=Qiy0X3g139PPt7YvkrY5N8ldugMWZuE7eGHgUTGjVrq5I%2FM4YAmP5a%2B%2F3oUrfUQ2uGVDARVK8wc%3D&ref=L%3A-3348145143005688612&srno=p_13&query=handicraft&otracker=from-search,(1 rating),4 stars
