item_id,cost,no_sellers
1,Rs. 260,1
2,Rs. 915,1
3,Rs. 198,1
4,"Rs. 3,599",2
5,"Rs. 2,400",1
6,Rs. 349,2
7,Rs. 720,1
8,Rs. 660,1
9,"Rs. 4,499",1
10,Rs. 299,1
11,"Rs. 4,650",1
12,Rs. 475,1
13,Rs. 725,1
14,Rs. 672,1
15,"Rs. 5,999",1
16,"Rs. 2,799",2
17,Unknown,1
18,"Rs. 1,124",1
19,Rs. 435,1
20,"Rs. 2,249",1
21,Rs. 999,1
22,Rs. 797,1
23,"Rs. 3,465",1
24,Rs. 540,1
25,"Rs. 1,649",1
26,Rs. 569,1
27,"Rs. 4,999",1
28,Rs. 825,1
29,Rs. 937,1
30,Rs. 199,1
31,"Rs. 1,470",1
32,"Rs. 2,050",1
33,"Rs. 1,249",1
34,Rs. 997,1
35,Rs. 777,1
36,"Rs. 1,000",1
37,"Rs. 1,039",1
38,Rs. 399,1
39,"Rs. 1,575",1
40,"Rs. 1,558",1
41,Rs. 699,1
42,Rs. 950,1
43,Rs. 535,1
44,"Rs. 2,150",1
45,Rs. 399,1
46,Rs. 799,1
47,"Rs. 1,299",1
48,"Rs. 1,649",2
49,"Rs. 10,800",1
50,"Rs. 7,499",1
51,Rs. 469,1
52,"Rs. 1,800",1
53,Rs. 915,1
54,Rs. 299,1
55,"Rs. 1,599",1
56,Rs. 824,1
57,Rs. 417,1
58,Rs. 331,1
59,Rs. 429,1
60,Rs. 549,1
61,Rs. 345,1
62,Rs. 399,1
63,Rs. 249,1
64,Rs. 599,1
65,"Rs. 7,599",2
66,Rs. 549,1
67,"Rs. 1,999",1
68,"Rs. 3,659",1
69,Rs. 589,1
70,"Rs. 1,080",1
71,"Rs. 1,799",1
72,Rs. 665,1
73,Rs. 899,1
74,Rs. 524,1
75,Rs. 279,1
76,"Rs. 1,798",1
77,"Rs. 2,450",1
78,Rs. 541,1
79,Rs. 600,1
80,Rs. 211,1
81,"Rs. 1,199",1
82,Rs. 999,1
83,"Rs. 1,999",1
84,"Rs. 3,333",1
85,Rs. 325,1
86,Rs. 937,1
87,Rs. 903,1
88,Rs. 900,1
89,Rs. 200,1
90,Rs. 798,1
91,"Rs. 1,299",1
